"TIME";"FARE_ID"
1;117
12;75
13;47
15;125
16;139
17;139
22;119
23;133
34;109
35;57
38;143
42;45
45;87
48;73
50;105
51;21
52;1
56;53
58;57
62;23
70;91
79;9
92;75
95;121
97;33
98;89
99;97
101;45
106;45
110;43
114;45
116;83
121;141
122;57
124;35
126;135
130;133
132;89
136;9
141;111
143;141
149;111
152;131
154;115
155;93
157;101
158;41
163;5
164;37
165;39
166;23
169;15
171;21
173;133
177;11
179;51
180;39
184;9
185;61
193;143
194;21
198;21
200;121
201;99
203;49
204;141
208;105
209;27
210;21
212;49
213;69
215;5
216;119
217;5
218;109
219;123
220;141
221;123
223;59
225;21
227;119
229;69
230;1
231;127
233;29
235;101
236;19
237;61
239;15
241;9
242;141
244;49
245;121
246;97
251;127
252;113
254;97
255;93
261;75
265;73
269;75
272;53
273;25
275;93
276;27
278;105
280;139
281;75
286;111
287;55
289;69
292;75
294;55
297;43
298;21
300;21
301;41
302;29
308;37
309;25
313;87
316;37
318;9
321;29
322;43
323;91
325;39
329;3
331;97
332;109
335;125
339;143
344;15
346;53
347;75
349;101
350;95
351;55
353;59
354;47
357;63
359;21
363;56
364;33
365;127
367;21
370;97
375;101
377;39
379;79
392;22
393;33
395;2
402;53
404;111
406;124
409;40
412;14
414;76
418;61
420;10
424;119
426;118
427;131
428;76
431;14
436;4
439;43
441;63
443;55
444;47
448;56
449;127
451;51
457;94
462;33
463;13
469;80
470;30
475;76
477;118
480;33
481;28
488;47
489;52
491;46
493;144
496;53
498;110
499;77
500;85
503;56
507;11
511;26
514;55
520;26
521;86
523;24
524;144
527;88
529;132
537;90
541;44
542;40
543;76
544;4
547;77
548;21
549;76
552;54
553;56
554;22
556;56
558;75
560;70
564;64
568;24
569;16
570;2
575;70
581;14
582;112
583;48
584;47
585;98
587;78
591;106
592;110
596;88
598;88
600;128
