"TIME";"FARE_ID"
3;115
5;33
7;75
14;55
17;15
19;99
22;97
23;75
25;63
27;87
30;107
32;41
33;123
37;127
39;141
40;139
41;139
42;33
43;139
45;143
47;93
48;5
49;109
50;119
53;97
54;41
55;1
56;5
58;23
59;21
60;93
61;85
62;93
67;125
68;41
70;85
71;27
72;57
73;125
74;133
77;97
78;37
82;125
88;9
90;1
93;29
94;45
97;111
101;29
103;93
105;51
106;133
109;23
119;21
121;93
123;49
124;37
128;23
129;131
133;121
135;141
137;27
138;25
144;123
147;53
148;87
160;143
165;101
167;51
171;73
172;49
178;95
179;97
181;119
182;137
183;77
189;31
191;27
192;27
194;109
197;27
200;39
201;23
203;141
204;101
207;13
213;47
214;117
215;71
217;139
227;113
235;85
242;67
243;23
244;143
245;95
246;139
247;27
251;53
259;111
262;143
263;123
265;11
267;115
272;133
273;109
278;51
279;21
281;37
284;87
286;143
287;61
288;93
291;143
297;15
300;121
301;77
302;125
306;31
309;115
311;87
312;143
314;125
323;45
330;33
335;1
341;53
343;13
345;77
347;143
355;61
356;123
359;77
361;87
364;10
366;69
367;53
369;55
370;47
373;76
376;9
377;55
378;125
380;47
382;131
386;93
392;1
395;119
396;1
398;55
402;109
403;87
404;69
405;56
411;101
416;105
418;87
420;71
422;144
423;42
424;111
433;2
437;94
438;53
440;105
443;10
444;98
449;34
457;48
469;40
476;10
479;116
480;12
482;69
483;72
484;88
485;97
491;118
492;46
494;94
499;24
510;102
511;62
514;92
515;68
517;98
518;2
520;4
521;134
522;12
525;42
527;106
536;74
539;118
542;140
549;94
551;18
552;26
554;86
555;88
557;52
558;106
563;64
566;12
567;22
569;22
572;64
573;110
574;16
576;16
579;10
581;94
582;2
586;26
592;54
593;28
594;118
595;116
596;6
597;142
599;142
